#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2019-09-11T12:47:16 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5d78ecc14dd2	
#INFO	-out.max=unlimited	
#INFO	queryParameters=32	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:B/ocl&tab:{B/ocl/clusters}&key:source=B/ocl/clusters&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=B/ocl/clusters
#-order=I
#-out=P
#-out=Cluster
#-out=RAJ2000
#-out=DEJ2000
#-out=Class
#-out=Diam
#-out=Dist
#-out=E(B-V)
#-out=Age
#-out=pmRA
#-out=pmDE
#-out=Nc
#-out=K14
#K14=K14
#-out=RV
#-out=o_RV
#-out=[Fe/H]
#-out=o_[Fe/H]
#-out=TrType
#-out=WEBDA
#WEBDA=WEBDA
#-out=Lynga
#Lynga=Lynga
#

#RESOURCE=yCat_102022
#Name: B/ocl
#Title: Optically visible open clusters and Candidates (Dias+ 2002-2015)
#Table	B_ocl_clusters:
#Name: B/ocl/clusters
#Title: The Catalogue Data File (V3.5)
#Column	P	(A1)	VizieR added column, not part of original data	[ucd=meta.ref.url]
#Column	Cluster	(a17)	Cluster name	[ucd=meta.id;meta.main]
#Column	RAJ2000	(A8)	Right Ascension J2000	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A9)	Declination J2000	[ucd=pos.eq.dec;meta.main]
#Column	Class	(A2)	Flag for classification of the cluster (G1)	[ucd=meta.code]
#Column	Diam	(F6.1)	[0.2/1400]? Angular apparent diameter	[ucd=phys.angSize]
#Column	Dist	(I5)	[25/15000]? Distance from WEBDA [NULL integer written as an empty string]	[ucd=pos.distance;pos.heliocentric]
#Column	E(B-V)	(F6.3)	[0/6]? Colour excess in BV	[ucd=phot.color.excess]
#Column	Age	(F6.3)	[6/10.1]? Age (in log t)	[ucd=time.age]
#Column	pmRA	(F7.2)	? Mean proper motion of the cluster in RA	[ucd=pos.pm;pos.eq.ra]
#Column	pmDE	(F7.2)	? Mean proper motion of the cluster in Dec	[ucd=pos.pm;pos.eq.dec]
#Column	Nc	(I5)	[1/14341]? Estimated number of cluster members [NULL integer written as an empty string]	[ucd=meta.number]
#Column	K14	(A3)	Details from Kharchenko et al. 2014 (J/A+A/558/A53)	[ucd=meta.ref.url]
#Column	RV	(F7.2)	? Radial Velocity	[ucd=spect.dopplerVeloc;pos.heliocentric]
#Column	o_RV	(I3)	[0/537]? Number of stars used to determine RV [NULL integer written as an empty string]	[ucd=meta.number]
#Column	[Fe/H]	(F6.3)	[-1.6/0.5]? Metallicity	[ucd=phys.abund.Z]
#Column	o_[Fe/H]	(I2)	[0/60]? Number of stars used to determine [Fe/H] [NULL integer written as an empty string]	[ucd=meta.number]
#Column	TrType	(A8)	Trumpler type determined in the DSS inspection (concentration-brightness-richness-nebulosity)	[ucd=src.class]
#Column	WEBDA	(a5)	Find out what exists about this cluster in the WEBDA data-base	[ucd=meta.ref.url]
#Column	Lynga	(a5)	VizieR added column, not part of original data	[ucd=meta.ref.url]
P	Cluster	RAJ2000	DEJ2000	Class	Diam	Dist	E(B-V)	Age	pmRA	pmDE	Nc	K14	RV	o_RV	[Fe/H]	o_[Fe/H]	TrType	WEBDA	Lynga
 	Teutsch 8        	20 02 23	+35 18 41	  	   1.1	 1600	 0.580	 7.000	  -1.94	   4.83	    7	K14	       	   	      	  	        	WEBDA	Lynga
 	FSR 0198         	20 02 27	+35 40 31	IR	   7.0	 1700	 0.960	 7.000	  -2.63	  -4.93	  132	K14	 -13.00	  1	      	  	        	WEBDA	Lynga
 	Dolidze 36       	20 02 30	+42 06 00	  	  14.0	  900	 0.220	 8.830	  -1.47	  -3.39	  437	K14	  77.00	  1	      	  	4-3-r-n 	WEBDA	Lynga
 	NGC 6858         	20 02 56	+11 15 30	  	  10.0	 1310	 0.130	 9.400	   1.82	  -0.51	  202	K14	       	   	      	  	        	WEBDA	Lynga
 	ASCC 110         	20 03 00	+33 34 12	  	  27.6	  800	 0.150	 8.750	  -1.81	  -6.49	 3530	K14	  -2.87	  5	      	  	        	WEBDA	Lynga
 	Dolidze 37       	20 03 00	+37 41 00	  	   8.0	 1400	 2.311	 7.585	  -0.16	  -3.42	  112	K14	       	   	      	  	4-2-p-n 	WEBDA	Lynga
 	Kronberger 54    	20 03 08	+31 58 01	  	   0.8	 1715	 0.940	 8.400	  -4.20	  -3.35	  105	K14	       	   	      	  	        	WEBDA	Lynga
P	NGC 6866         	20 03 55	+44 09 30	  	  14.0	 1189	 0.074	 8.910	  -1.39	  -3.07	  498	K14	  13.68	  2	-0.013	  	        	WEBDA	Lynga
 	Berkeley 84      	20 04 43	+33 54 24	  	   2.5	 2750	 0.730	 8.650	  -2.09	  -0.41	   42	K14	       	   	      	  	2-1-p-n 	WEBDA	Lynga
 	Alessi 10        	20 04 46	-10 28 42	  	  18.0	  513	 0.220	 8.350	   2.32	  -8.57	   17	K14	  75.90	  1	      	  	4-3-p-* 	WEBDA	Lynga
 	FSR 0167         	20 04 50	+27 04 14	IR	   5.2	 1993	 1.249	 8.200	   0.56	   3.22	  100	K14	       	   	      	  	        	WEBDA	Lynga
P	Roslund 4        	20 04 54	+29 13 00	  	   5.0	 2000	 0.910	 6.600	  -2.90	  -4.91	   80	K14	 -15.70	   	      	  	        	WEBDA	Lynga
 	ESO 461 38       	20 04 54	-30 21 00	  	   4.0	 2402	 0.458	 8.975	  -1.03	  -8.46	   22	K14	       	   	      	  	4-3-p-n 	WEBDA	Lynga
 	FSR 0190         	20 05 28	+33 34 29	IR	   4.2	 3924	 0.874	 6.100	  -2.73	  -6.95	  109	K14	       	   	      	  	        	WEBDA	Lynga
 	Dolidze 38       	20 05 42	+41 12 00	  	  18.0	 1200	 0.150	 8.950	  -1.73	  -6.11	  767	K14	       	   	      	  	4-3-r-n 	WEBDA	Lynga
 	Dol Dzim 10      	20 05 48	+40 32 00	  	   2.5	 1670	 0.550	 9.000	  -4.77	  -1.84	   16	K14	       	   	      	  	        	WEBDA	Lynga
P	NGC 6871         	20 05 59	+35 46 36	  	  29.0	 1574	 0.443	 6.958	  -3.26	  -5.15	 2585	K14	-108.01	 11	      	  	        	WEBDA	Lynga
 	Kronberger 28    	20 06 32	+35 34 34	  	   0.8	  550	 2.260	 8.600	  -2.11	  -5.43	   59	K14	       	   	      	  	        	WEBDA	Lynga
 	Basel 6          	20 06 48	+38 21 00	  	   7.0	 1548	 0.580	 7.977	  -2.21	  -2.99	  228	K14	       	   	      	  	        	WEBDA	Lynga
 	FSR 0192         	20 06 52	+33 49 48	IR	   5.6	 2645	 0.895	 7.200	  -1.57	  -6.86	  119	K14	       	   	      	  	        	WEBDA	Lynga
 	Biurakan 1       	20 07 30	+35 41 00	  	  10.0	 1600	 0.330	 7.250	  -2.83	  -4.65	  421	K14	  -9.00	  2	      	  	4-3-p-n 	WEBDA	Lynga
 	NGC 6873         	20 07 44	+21 05 51	  	  15.0	 1250	 0.350	 8.940	  -2.73	  -5.82	  607	K14	       	   	      	  	        	WEBDA	Lynga
 	FSR 0170         	20 07 46	+27 33 55	IR	   3.6	 4023	 2.415	 8.900	  -1.23	   2.94	    8	K14	       	   	      	  	        	WEBDA	Lynga
P	Biurakan 2       	20 09 12	+35 29 00	  	  20.0	 1106	 0.360	 7.011	  -1.95	  -4.49	  914	K14	 -19.66	  4	      	  	        	WEBDA	Lynga
 	Dolidze 1        	20 09 38	+36 30 21	OC	   8.0	 1445	 0.625	 7.600	  -1.27	  -5.65	  275	K14	   4.00	  1	      	  	4-2-p-n 	WEBDA	Lynga
 	FSR 0189         	20 09 46	+32 54 47	IR	   5.6	 2588	 1.041	 6.500	  -2.84	 -11.15	   55	K14	       	   	      	  	        	WEBDA	Lynga
 	Dolidze 2        	20 09 54	+41 22 00	d 	   6.0	 4296	 0.729	 8.785	  -0.16	  -6.16	  141	K14	       	   	      	  	4-1-p-n 	WEBDA	Lynga
P	Roslund 5        	20 10 00	+33 46 00	  	  50.0	  389	 0.098	 7.832	   2.32	  -1.50	   60	K14	 -17.66	 13	      	  	        	WEBDA	Lynga
P	IC 1311          	20 10 18	+41 13 00	  	   5.0	 6026	 0.280	 9.200	   0.59	  -6.51	   91	K14	 -63.15	  5	-0.300	 5	        	WEBDA	Lynga
 	Berkeley 50      	20 10 24	+34 58 00	  	   2.0	 2653	 0.750	 8.350	  -1.06	  -2.39	  150	K14	       	   	      	  	2-1-p-n 	WEBDA	Lynga
 	ASCC 111         	20 11 13	+37 27 00	  	  66.0	 1600	 0.300	 7.050	  -0.08	   0.14	 8004	K14	 -11.06	 13	      	  	        	WEBDA	Lynga
P	NGC 6883         	20 11 19	+35 49 54	  	  35.0	 1380	 0.300	      	  -2.89	  -6.53	    1	K14	  -8.18	  5	      	  	4-2-m-n 	WEBDA	Lynga
 	Collinder 416    	20 11 35	+26 32 04	  	   8.0	     	      	      	  -4.20	  -5.25	  168	K14	 -17.67	  4	      	  	        	WEBDA	Lynga
 	Ruprecht 172     	20 11 36	+35 36 18	  	  15.0	 1100	 0.200	 8.910	  -2.55	  -4.58	  954	K14	       	   	      	  	3-2-p-n 	WEBDA	Lynga
P	NGC 6882         	20 11 47	+26 48 42	  	   5.0	  432	 0.062	 8.200	   1.60	  -9.80	    3	K14	 -17.80	  2	-0.020	 2	        	WEBDA	Lynga
 	Berkeley 51      	20 11 54	+34 24 06	  	   2.0	 1300	 1.600	 9.050	  -1.15	  -1.37	  101	K14	       	   	      	  	1-1-p-n 	WEBDA	Lynga
 	AH03 J2011+26.7  	20 11 57	+26 44 08	  	   4.5	 2567	 0.900	 7.350	   0.29	  -2.56	   32	K14	       	   	      	  	        	WEBDA	Lynga
 	NGC 6885         	20 12 01	+26 28 42	  	  20.0	  597	 0.080	 9.160	  -3.30	  -5.14	  689	K14	  -1.50	  6	      	  	        	WEBDA	Lynga
 	Kronberger 72    	20 12 19	+37 53 27	  	   2.0	 1055	 0.550	 8.700	  -2.99	  -0.08	   53	K14	       	   	      	  	        	WEBDA	Lynga
 	FSR 0178         	20 13 08	+29 07 24	IR	   6.0	 3700	 1.340	 9.180	  -0.89	  -4.21	   58	K14	       	   	      	  	        	WEBDA	Lynga
 	Kronberger 73    	20 13 47	+36 44 55	  	   1.2	 1695	 0.970	 8.600	  -0.93	   0.54	   29	K14	       	   	      	  	        	WEBDA	Lynga
 	Berkeley 52      	20 14 30	+28 56 48	  	   3.0	 4900	 1.500	 9.300	 -16.46	   6.37	    5	K14	       	   	      	  	1-1-m-* 	WEBDA	Lynga
 	FSR 0219         	20 15 00	+41 10 46	IR	   2.1	  884	 0.833	 6.500	  -2.85	  -3.97	   73	K14	       	   	      	  	        	WEBDA	Lynga
 	Patchick 75      	20 15 02	+33 55 43	  	   1.5	 1442	 0.730	 8.950	  -1.50	  -8.62	   17	K14	       	   	      	  	        	WEBDA	Lynga
 	Dolidze 3        	20 15 29	+36 51 47	  	  15.0	 1032	 0.562	 8.290	  -1.42	  -4.13	  532	K14	       	   	      	  	3-2-m-n 	WEBDA	Lynga
P	IC 4996          	20 16 31	+37 39 19	  	   2.2	 2398	 0.710	 6.870	  -0.53	  -4.34	   15	K14	 -13.00	   	      	  	        	WEBDA	Lynga
 	Alessi Teutsch 11	20 16 32	+52 04 30	  	  26.4	  550	 0.080	 8.150	  -0.06	  -1.46	 1015	K14	       	   	      	  	        	WEBDA	Lynga
 	FSR 0195         	20 16 51	+33 37 36	IR	   3.6	 2331	 1.437	 9.345	   4.50	  -2.72	   13	K14	       	   	      	  	        	WEBDA	Lynga
 	vdBergh 130      	20 17 42	+39 21 00	  	   6.0	 1589	 0.916	 7.400	  -3.61	  -4.58	   50	K14	       	   	      	  	2-2-p-n 	WEBDA	Lynga
 	Feibelman 1      	20 17 47	+38 02 00	  	   5.0	 1457	 2.124	 6.700	  -2.35	  -2.24	  121	K14	  -8.90	  1	      	  	        	WEBDA	Lynga
 	Dolidze 4        	20 17 56	+36 42 19	d 	   8.7	     	      	      	  -1.62	  -3.08	  107	K14	       	   	      	  	4-1-p-n 	WEBDA	Lynga
 	Dolidze 40       	20 17 56	+37 55 59	OC	  16.5	 2702	 1.062	 8.400	  -0.22	  -0.77	  668	K14	  -8.90	  1	      	  	3-1-p-n 	WEBDA	Lynga
 	Kronberger 74    	20 17 57	+36 45 37	  	   1.1	 1760	 0.870	 9.000	  14.64	  20.68	   11	K14	       	   	      	  	        	WEBDA	Lynga
 	Collinder 419    	20 18 07	+40 43 55	  	   4.0	  740	 0.340	 6.850	  -2.15	  -6.28	   51	K14	  -8.22	  2	      	  	4-2-p-* 	WEBDA	Lynga
 	FSR 0232         	20 18 14	+42 37 50	IR	   3.1	 1546	 0.791	 8.150	   0.81	  -3.47	   22	K14	       	   	      	  	        	WEBDA	Lynga
 	Teutsch 124      	20 18 21	+31 12 22	  	   4.0	  840	 1.820	 9.840	   0.34	  -2.77	   45	K14	       	   	      	  	        	WEBDA	Lynga
 	Dolidze 41       	20 18 49	+37 45 00	  	  11.0	     	      	      	  -0.61	  -0.57	  329	K14	  -1.00	  2	      	  	4-1-p-* 	WEBDA	Lynga
 	Berkeley 85      	20 18 55	+37 45 33	  	   5.0	 1760	 0.770	 9.000	  -1.45	  -1.52	  142	K14	       	   	      	  	3-1-m-* 	WEBDA	Lynga
 	FSR 0223         	20 19 40	+40 55 40	IR	   1.8	 2466	 1.832	 6.550	  -2.70	  -4.80	  141	K14	       	   	      	  	        	WEBDA	Lynga
P	Dolidze 42       	20 19 42	+38 08 00	  	   7.0	  972	 0.571	 7.542	  -1.14	  -0.53	  136	K14	       	   	      	  	        	WEBDA	Lynga
 	FSR 0222         	20 20 05	+40 50 11	IR	   1.2	 1238	 1.666	 7.200	   2.94	  -5.65	    8	K14	       	   	      	  	        	WEBDA	Lynga
 	Dolidze 5        	20 20 10	+39 19 50	d 	   7.5	  969	 0.521	 8.100	  -2.59	  -5.50	  122	K14	 -35.00	  1	      	  	3-3-m-n 	WEBDA	Lynga
P	Berkeley 86      	20 20 24	+38 42 00	v 	   6.0	 1112	 0.898	 7.116	  -4.56	  -5.56	   73	K14	 -25.54	  2	      	  	        	WEBDA	Lynga
 	Dolidze 6        	20 20 32	+41 21 24	d 	   7.8	     	      	      	  -0.62	  -4.51	   29	K14	  -9.00	  1	      	  	4-2-p-n 	WEBDA	Lynga
 	Kronberger 58    	20 20 48	+41 12 17	  	   0.2	 1515	 1.350	 8.200	       	       	     	K14	       	   	      	  	        	WEBDA	Lynga
 	Berkeley 88      	20 21 36	+48 05 00	  	   2.0	 6319	 0.880	 9.200	  -2.49	  -4.02	   12	K14	       	   	      	  	4-1-p-* 	WEBDA	Lynga
P	Berkeley 87      	20 21 42	+37 22 00	  	  10.0	  633	 1.369	 7.152	  -1.93	  -3.11	   99	K14	 -65.00	  1	      	  	        	WEBDA	Lynga
 	NGC 6904         	20 21 48	+25 44 24	  	   8.0	 1355	 0.390	 9.000	  -1.01	  -5.88	  232	K14	       	   	      	  	        	WEBDA	Lynga
 	Collinder 421    	20 23 10	+41 41 35	  	   3.6	 1050	 0.640	 8.400	  -3.61	 -11.58	   21	K14	       	   	      	  	3-1-p-n 	WEBDA	Lynga
P	NGC 6910         	20 23 12	+40 46 42	  	  10.0	 1139	 0.971	 7.127	  -2.46	  -6.02	  156	K14	 -31.57	  3	      	  	        	WEBDA	Lynga
 	Kronberger 57    	20 23 57	+36 36 18	  	   2.2	 1295	 1.060	 8.200	  -2.35	  -2.01	   26	K14	       	   	      	  	        	WEBDA	Lynga
P	NGC 6913         	20 23 57	+38 30 30	  	  10.0	 1540	 1.030	 6.700	  -3.21	  -4.56	  131	K14	 -16.90	   	      	  	        	WEBDA	Lynga
 	Majaess 207      	20 24 13	+35 52 21	IR	   7.0	     	      	      	   0.80	 -16.49	   70	K14	       	   	      	  	        	WEBDA	Lynga
 	Dolidze 8        	20 24 23	+42 16 52	  	   7.3	 1078	 1.666	 8.855	 -12.96	  -4.40	    3	K14	       	   	      	  	1-2-p-n 	WEBDA	Lynga
 	Berkeley 89      	20 24 36	+46 03 00	  	   3.0	 2040	 1.050	 9.050	  -1.86	  -3.62	   66	K14	       	   	      	  	3-1-p-* 	WEBDA	Lynga
 	FSR 0239         	20 24 46	+42 49 04	IR	   4.4	     	      	      	   1.59	 -16.20	   13	K14	       	   	      	  	        	WEBDA	Lynga
 	FSR 0224         	20 25 21	+40 13 37	IR	   2.0	 1427	 0.708	 9.005	  -5.25	  -7.05	   40	K14	       	   	      	  	        	WEBDA	Lynga
 	Dolidze 9        	20 25 42	+41 56 00	  	   5.0	 1063	 0.833	 8.000	   4.20	 -11.71	   11	K14	       	   	      	  	4-2-p-n 	WEBDA	Lynga
 	Dolidze 10       	20 26 18	+40 07 00	d 	   3.0	     	      	      	  -0.46	  -4.02	    9	K14	       	   	      	  	4-1-p-n 	WEBDA	Lynga
 	Dolidze 11       	20 26 30	+41 27 00	d 	   5.0	 1813	 0.645	 7.350	  -3.05	  -5.87	   48	K14	 -14.00	  1	      	  	4-3-p-n 	WEBDA	Lynga
 	FSR 0210         	20 26 37	+37 16 52	IR	   4.3	 1087	 0.833	 8.800	   1.46	  -0.33	   29	K14	       	   	      	  	        	WEBDA	Lynga
 	ESO 026 02       	20 26 38	-80 00 12	d 	   8.0	 2473	 0.104	 9.700	   0.96	  -4.82	   37	K14	       	   	      	  	        	WEBDA	Lynga
 	FSR 0213         	20 26 59	+38 58 32	IR	   6.4	 1434	 0.833	 8.715	  -0.53	  -3.16	   59	K14	       	   	      	  	        	WEBDA	Lynga
 	Teutsch 30       	20 27 43	+36 04 32	  	   3.2	 1600	 1.240	 6.900	   1.34	  -6.55	   35	K14	       	   	      	  	        	WEBDA	Lynga
 	Teutsch 28       	20 28 19	+35 06 55	  	   4.4	 3100	 1.440	 9.950	   3.02	  -0.83	   22	K14	       	   	      	  	        	WEBDA	Lynga
 	Roslund 6        	20 28 49	+39 19 36	  	  24.0	  450	 0.060	 8.470	  -0.52	  -4.17	  350	K14	       	   	      	  	4-3-m-n 	WEBDA	Lynga
 	Dolidze 44       	20 29 42	+41 43 00	  	  10.0	 1499	 0.687	 8.155	  -0.61	  -5.44	   93	K14	       	   	      	  	4-2-p-n 	WEBDA	Lynga
 	Wit 4            	20 30 35	+44 18 55	e 	      	 1456	 0.885	 8.000	  -1.14	  -5.44	  217	K14	       	   	      	  	        	WEBDA	Lynga
P	NGC 6939         	20 31 30	+60 39 42	v 	  10.0	 1800	 0.330	 9.200	  -2.37	  -5.29	  285	K14	 -42.00	  4	 0.000	  	        	WEBDA	Lynga
 	FSR 0236         	20 32 44	+41 27 08	IR	   3.9	  901	 1.172	 8.200	   0.10	  -1.01	  303	K14	       	   	      	  	        	WEBDA	Lynga
 	Bica 1           	20 33 10	+41 13 07	  	   3.0	 1800	 2.120	 6.600	  -1.67	  -2.07	   27	K14	       	   	      	  	        	WEBDA	Lynga
 	Bica 2           	20 33 15	+41 18 45	  	   5.0	 1800	 1.820	 6.600	  -0.49	  -3.56	   74	K14	 -28.00	  1	      	  	        	WEBDA	Lynga
 	FSR 0260         	20 33 40	+45 38 35	IR	   2.2	 1318	 0.625	 8.930	  -5.90	   0.68	   63	K14	       	   	      	  	        	WEBDA	Lynga
 	Kronberger 59    	20 33 50	+40 08 53	  	   1.0	  780	 0.840	 8.000	  -2.47	   0.01	   12	K14	       	   	      	  	        	WEBDA	Lynga
P	NGC 6940         	20 34 26	+28 17 00	  	  25.0	  770	 0.214	 8.858	  -3.40	  -4.47	  877	K14	   7.89	 21	 0.013	 6	        	WEBDA	Lynga
 	NGC 6938         	20 34 42	+22 12 54	  	   7.2	 1250	 0.130	 9.110	   0.55	  -3.55	  105	K14	       	   	      	  	        	WEBDA	Lynga
 	FSR 0238         	20 34 47	+41 24 56	IR	   3.7	 3091	 1.707	 6.770	  -1.03	  -3.55	   78	K14	       	   	      	  	        	WEBDA	Lynga
 	FSR 0247         	20 34 57	+42 55 20	IR	   0.4	     	      	      	       	       	     	K14	       	   	      	  	        	WEBDA	Lynga
 	Patchick 103     	20 35 08	+53 18 00	  	   1.3	 2220	 0.710	 8.900	   6.80	   2.35	    7	K14	       	   	      	  	        	WEBDA	Lynga
 	Berkeley 90      	20 35 18	+46 50 00	  	   5.0	 2070	 1.190	 8.050	  -2.13	  -0.52	   77	K14	       	   	      	  	2-1-p-n 	WEBDA	Lynga
 	FSR 0255         	20 35 53	+44 19 31	IR	   0.7	 1233	 1.666	 7.900	  -2.17	  -3.66	   98	K14	       	   	      	  	        	WEBDA	Lynga
 	Majaess 209      	20 37 21	+47 14 04	IR	   2.0	     	      	      	       	       	     	K14	       	   	      	  	        	WEBDA	Lynga
 	FSR 0245         	20 38 05	+42 13 52	IR	   1.2	 1186	 1.332	 8.580	   1.98	   0.76	   21	K14	       	   	      	  	        	WEBDA	Lynga
 	FSR 0249         	20 38 24	+42 30 03	IR	   4.0	 1790	 1.353	 6.100	   3.22	  -3.17	   14	K14	       	   	      	  	        	WEBDA	Lynga
 	FSR 0251         	20 40 14	+42 58 33	IR	   2.7	  857	 1.041	 8.700	  -1.77	  -3.28	  117	K14	       	   	      	  	        	WEBDA	Lynga
 	FSR 0246         	20 40 31	+42 03 00	IR	   3.6	     	      	      	   5.68	   1.21	    8	K14	       	   	      	  	        	WEBDA	Lynga
 	NGC 6950         	20 41 04	+16 37 06	  	  15.0	 1070	 0.060	 9.260	  -1.77	  -3.62	  299	K14	       	   	      	  	        	WEBDA	Lynga
 	Ruprecht 173     	20 41 48	+35 33 00	d 	  39.0	 1791	 0.729	 8.800	  -3.52	  -5.19	 2387	K14	  -7.10	  2	      	  	2-2-p-* 	WEBDA	Lynga
 	Dolidze 47       	20 41 55	+36 34 37	OC	  11.0	 2293	 0.770	 8.400	  -2.28	  -3.57	  223	K14	       	   	      	  	3-2-p-* 	WEBDA	Lynga
 	FSR 0225         	20 42 53	+37 49 44	IR	   3.0	 1150	 2.165	 8.865	  -2.23	  -4.19	   27	K14	       	   	      	  	        	WEBDA	Lynga
 	Turner 11        	20 43 24	+35 35 18	  	   8.2	 1905	 1.130	 8.600	  -3.58	  -5.41	  127	K14	       	   	      	  	        	WEBDA	Lynga
 	Ruprecht 174     	20 43 31	+37 01 27	  	   9.6	 2110	 0.320	 8.900	  -2.73	  -4.49	  249	K14	       	   	      	  	4-1-p-* 	WEBDA	Lynga
 	Alessi 12        	20 43 48	+23 47 30	  	  40.0	  537	 0.080	 8.100	   4.33	  -5.35	   28	K14	 -26.00	  1	      	  	4-3-m-* 	WEBDA	Lynga
 	FSR 0248         	20 43 57	+41 39 27	IR	   2.6	     	      	      	       	       	     	K14	       	   	      	  	        	WEBDA	Lynga
 	FSR 0258         	20 44 50	+43 54 54	IR	   1.6	 1238	 1.666	 8.300	  21.47	 -23.72	    3	K14	       	   	      	  	        	WEBDA	Lynga
P	Ruprecht 175     	20 45 12	+35 30 00	  	  14.0	 4431	 0.521	 9.000	  -2.60	  -4.40	  588	K14	       	   	      	  	4-2-m-* 	WEBDA	Lynga
 	FSR 0237         	20 45 30	+39 36 40	IR	   2.8	 1656	 2.811	 8.100	  -0.94	  -2.95	   73	K14	       	   	      	  	        	WEBDA	Lynga
 	FSR 0274         	20 49 07	+47 53 41	IR	   1.6	 2153	 1.041	 7.800	  -3.18	   5.01	   24	K14	       	   	      	  	        	WEBDA	Lynga
 	SAI 137          	20 49 53	+41 15 18	  	   6.0	 1060	 0.890	 8.700	  -3.26	  -8.75	   19	K14	       	   	      	  	        	WEBDA	Lynga
 	Dol Dzim 11      	20 51 00	+35 57 00	  	   3.0	 2545	 0.420	 9.300	  -2.22	  -2.60	   44	K14	       	   	      	  	        	WEBDA	Lynga
 	Roslund 7        	20 52 08	+37 53 44	d 	  20.0	  700	 0.200	 8.670	  -3.55	  -5.75	  540	K14	 -22.00	  1	      	  	4-2-p-* 	WEBDA	Lynga
 	Barkhatova 1     	20 53 42	+46 02 00	d 	  20.0	  833	 0.200	      	  -2.49	  -2.82	 1049	K14	  -1.00	  1	      	  	        	WEBDA	Lynga
 	FSR 0261         	20 53 48	+43 06 35	IR	   2.0	  852	 1.395	 8.275	  -1.70	  -3.60	  199	K14	       	   	      	  	        	WEBDA	Lynga
 	NGC 6991         	20 54 54	+47 25 00	n 	  25.0	  700	 0.000	 9.110	  -1.50	   1.94	 1218	K14	 -21.77	  3	      	  	3-3-p-n 	WEBDA	Lynga
 	FSR 0284         	20 56 28	+49 22 07	IR	   3.6	 1887	 0.687	 8.775	  -2.71	  -3.22	  121	K14	       	   	      	  	        	WEBDA	Lynga
 	NGC 6997         	20 56 30	+44 39 00	  	   8.0	  741	 0.687	 8.900	  -3.89	  -6.45	  150	K14	       	   	      	  	        	WEBDA	Lynga
P	NGC 6996         	20 56 30	+44 38 00	v 	  14.0	  760	 0.520	 8.540	  -2.90	  -8.40	    3	K14	       	   	      	  	        	WEBDA	Lynga
 	Berkeley 53      	20 56 36	+51 05 00	  	  22.0	 3100	 1.520	 9.090	  -3.51	   0.32	  393	K14	       	   	-0.090	 4	3-2-m-* 	WEBDA	Lynga
 	FSR 0275         	20 56 36	+46 53 30	IR	   3.8	 3948	 0.833	 8.910	  -3.52	  -0.98	  160	K14	       	   	      	  	        	WEBDA	Lynga
 	FSR 0290         	20 59 09	+50 46 46	IR	   4.3	 1201	 0.802	 8.920	  -1.41	   2.42	    8	K14	       	   	      	  	        	WEBDA	Lynga
 	Collinder 427    	21 00 37	+68 09 35	nf	   4.0	     	      	      	 -11.04	  -6.69	   13	K14	       	   	      	  	4-1-p-n 	WEBDA	Lynga
 	FSR 0273         	21 01 40	+44 48 51	IR	   1.9	 2220	 0.833	 8.745	  -5.79	  -0.90	  197	K14	       	   	      	  	        	WEBDA	Lynga
 	Teutsch 22       	21 01 41	+44 06 43	  	   2.0	 2700	 0.860	 8.550	  -5.10	  -2.00	   82	K14	       	   	      	  	        	WEBDA	Lynga
 	NGC 7011         	21 01 49	+47 21 12	  	   4.4	 1236	 1.080	 8.600	  -5.06	   1.64	   34	K14	       	   	      	  	        	WEBDA	Lynga
 	FSR 0282         	21 02 18	+48 07 00	IR	   4.3	 2533	 0.874	 9.240	  -4.85	  -4.43	   41	K14	       	   	      	  	        	WEBDA	Lynga
 	Collinder 428    	21 03 12	+44 35 00	  	  10.0	 1000	 0.100	      	  -3.13	  -1.47	  303	K14	       	   	      	  	4-1-p-n 	WEBDA	Lynga
P	Berkeley 54      	21 03 12	+40 28 00	  	   4.0	 2300	 0.770	 9.600	  -1.87	  -5.43	   30	K14	       	   	      	  	        	WEBDA	Lynga
 	SAI 141          	21 03 47	+46 58 50	  	   3.0	 4940	 0.940	 8.600	  -5.03	  -2.22	   85	K14	       	   	      	  	        	WEBDA	Lynga
 	Teutsch 156      	21 03 47	+47 12 54	  	   3.0	 3930	 0.940	 8.950	  -4.84	   3.03	   44	K14	       	   	      	  	        	WEBDA	Lynga
 	FSR 0270         	21 04 11	+44 20 57	IR	   1.5	 1758	 0.854	 8.255	  -1.47	  -0.74	   41	K14	       	   	      	  	        	WEBDA	Lynga
 	NGC 7024         	21 06 09	+41 29 18	  	   5.0	 1760	 1.100	 8.700	  -2.54	  -3.38	   64	K14	       	   	      	  	        	WEBDA	Lynga
P	NGC 7031         	21 07 12	+50 52 30	  	  14.0	  900	 0.854	 8.138	  -2.87	  -4.77	  191	K14	   0.24	  1	      	  	        	WEBDA	Lynga
